Freq.	V(vo)
Step Information: Run=1  (Run: 1/10)
3.63078054770099e+003	(-6.37122825747830e+000dB,1.18679482430980e+002°)
3.71535229097170e+003	(-6.52591488003468e+000dB,1.18126744522012e+002°)
3.80189396320558e+003	(-6.68219507570707e+000dB,1.17581005989629e+002°)
3.89045144994278e+003	(-6.84002808032813e+000dB,1.17042372539824e+002°)
3.98107170553494e+003	(-6.99937309089332e+000dB,1.16510938381910e+002°)
4.07380277804110e+003	(-7.16018935178073e+000dB,1.15986786481911e+002°)
4.16869383470332e+003	(-7.32243623628400e+000dB,1.15469988843014e+002°)
4.26579518801589e+003	(-7.48607332332478e+000dB,1.14960606809930e+002°)
4.36515832240162e+003	(-7.65106046925564e+000dB,1.14458691394076e+002°)
4.46683592150960e+003	(-7.81735787470658e+000dB,1.13964283616559e+002°)
4.57088189614871e+003	(-7.98492614646665e+000dB,1.13477414866063e+002°)
4.67735141287194e+003	(-8.15372635442791e+000dB,1.12998107268840e+002°)
4.78630092322634e+003	(-8.32372008365083e+000dB,1.12526374068165e+002°)
4.89778819368442e+003	(-8.49486948163893e+000dB,1.12062220010736e+002°)
5.01187233627268e+003	(-8.66713730093551e+000dB,1.11605641737678e+002°)
5.12861383991361e+003	(-8.84048693717745e+000dB,1.11156628177956e+002°)
5.24807460249768e+003	(-9.01488246275923e+000dB,1.10715160942190e+002°)
5.37031796370248e+003	(-9.19028865627633e+000dB,1.10281214715001e+002°)
5.49540873857620e+003	(-9.36667102792922e+000dB,1.09854757644219e+002°)
5.62341325190344e+003	(-9.54399584107931e+000dB,1.09435751725428e+002°)
5.75439937337152e+003	(-9.72223013015529e+000dB,1.09024153180485e+002°)
5.88843655355584e+003	(-9.90134171511321e+000dB,1.08619912828819e+002°)
6.02559586074353e+003	(-1.00812992126564e+001dB,1.08222976450460e+002°)
6.16595001861477e+003	(-1.02620720444221e+001dB,1.07833285139885e+002°)
6.30957344480188e+003	(-1.04436304423409e+001dB,1.07450775649909e+002°)
6.45654229034650e+003	(-1.06259454513724e+001dB,1.07075380724991e+002°)
6.60693448007590e+003	(-1.08089889298174e+001dB,1.06707029423417e+002°)
6.76082975391976e+003	(-1.09927335474010e+001dB,1.06345647427955e+002°)
6.91830970918931e+003	(-1.11771527813171e+001dB,1.05991157344669e+002°)
7.07945784384132e+003	(-1.13622209104147e+001dB,1.05643478989680e+002°)
7.24435960074984e+003	(-1.15479130077054e+001dB,1.05302529663739e+002°)
7.41310241300911e+003	(-1.17342049313554e+001dB,1.04968224414553e+002°)
7.58577575029177e+003	(-1.19210733143257e+001dB,1.04640476286899e+002°)
7.76247116628685e+003	(-1.21084955528105e+001dB,1.04319196560577e+002°)
7.94328234724275e+003	(-1.22964497936164e+001dB,1.04004294976354e+002°)
8.12830516164092e+003	(-1.24849149206192e+001dB,1.03695679950066e+002°)
8.31763771102664e+003	(-1.26738705404223e+001dB,1.03393258775105e+002°)
8.51138038202369e+003	(-1.28632969673366e+001dB,1.03096937813547e+002°)
8.70963589956073e+003	(-1.30531752077916e+001dB,1.02806622676196e+002°)
8.91250938133738e+003	(-1.32434869442776e+001dB,1.02522218391874e+002°)
9.12010839355902e+003	(-1.34342145189169e+001dB,1.02243629566264e+002°)
9.33254300796983e+003	(-1.36253409167461e+001dB,1.01970760530676e+002°)
9.54992586021428e+003	(-1.38168497487940e+001dB,1.01703515481069e+002°)
9.77237220955802e+003	(-1.40087252350234e+001dB,1.01441798607722e+002°)
1.00000000000000e+004	(-1.42009521872057e+001dB,1.01185514215904e+002°)
Step Information: Run=2  (Run: 2/10)
1.00000000000000e+001	(-3.54223394652030e-004dB,1.79630737923500e+002°)
1.02329299228075e+001	(-3.62722071702666e-004dB,1.79622136951245e+002°)
1.04712854805090e+001	(-3.71621261240047e-004dB,1.79613335654235e+002°)
1.07151930523761e+001	(-3.80939837113033e-004dB,1.79604329367566e+002°)
1.09647819614319e+001	(-3.90697562508579e-004dB,1.79595113317767e+002°)
1.12201845430196e+001	(-4.00915131836418e-004dB,1.79585682620274e+002°)
1.14815362149688e+001	(-4.11614214604711e-004dB,1.79576032276851e+002°)
1.17489755493953e+001	(-4.22817501361036e-004dB,1.79566157172948e+002°)
1.20226443461741e+001	(-4.34548751779915e-004dB,1.79556052075001e+002°)
1.23026877081238e+001	(-4.46832845031069e-004dB,1.79545711627669e+002°)
1.25892541179417e+001	(-4.59695832524082e-004dB,1.79535130351004e+002°)
1.28824955169313e+001	(-4.73164993106823e-004dB,1.79524302637561e+002°)
1.31825673855641e+001	(-4.87268890899158e-004dB,1.79513222749437e+002°)
1.34896288259165e+001	(-5.02037435823916e-004dB,1.79501884815242e+002°)
1.38038426460288e+001	(-5.17501946998372e-004dB,1.79490282827008e+002°)
1.41253754462275e+001	(-5.33695219115765e-004dB,1.79478410637012e+002°)
1.44543977074593e+001	(-5.50651591916512e-004dB,1.79466261954540e+002°)
1.47910838816821e+001	(-5.68407022994435e-004dB,1.79453830342570e+002°)
1.51356124843621e+001	(-5.86999163956710e-004dB,1.79441109214379e+002°)
1.54881661891248e+001	(-6.06467440217655e-004dB,1.79428091830074e+002°)
1.58489319246111e+001	(-6.26853134536762e-004dB,1.79414771293041e+002°)
1.62181009735893e+001	(-6.48199474468332e-004dB,1.79401140546317e+002°)
1.65958690743756e+001	(-6.70551723955714e-004dB,1.79387192368870e+002°)
1.69824365246174e+001	(-6.93957279201910e-004dB,1.79372919371807e+002°)
1.73780082874937e+001	(-7.18465769088247e-004dB,1.79358313994481e+002°)
1.77827941003892e+001	(-7.44129160278799e-004dB,1.79343368500523e+002°)
1.81970085860998e+001	(-7.71001867296854e-004dB,1.79328074973769e+002°)
1.86208713666287e+001	(-7.99140867756590e-004dB,1.79312425314107e+002°)
1.90546071796325e+001	(-8.28605823047035e-004dB,1.79296411233221e+002°)
1.94984459975804e+001	(-8.59459204637202e-004dB,1.79280024250244e+002°)
1.99526231496888e+001	(-8.91766426378734e-004dB,1.79263255687304e+002°)
2.04173794466953e+001	(-9.25595982981936e-004dB,1.79246096664979e+002°)
2.08929613085404e+001	(-9.61019595035995e-004dB,1.79228538097642e+002°)
2.13796208950223e+001	(-9.98112360810265e-004dB,1.79210570688701e+002°)
2.18776162394955e+001	(-1.03695291522701e-003dB,1.79192184925735e+002°)
2.23872113856834e+001	(-1.07762359627755e-003dB,1.79173371075516e+002°)
2.29086765276777e+001	(-1.12021061925894e-003dB,1.79154119178922e+002°)
2.34422881531992e+001	(-1.16480425920594e-003dB,1.79134419045734e+002°)
2.39883291901949e+001	(-1.21149904189465e-003dB,1.79114260249313e+002°)
2.45470891568503e+001	(-1.26039394379216e-003dB,1.79093632121164e+002°)
2.51188643150958e+001	(-1.31159260142274e-003dB,1.79072523745375e+002°)
2.57039578276886e+001	(-1.36520353054163e-003dB,1.79050923952927e+002°)
2.63026799189538e+001	(-1.42134035560708e-003dB,1.79028821315884e+002°)
2.69153480392691e+001	(-1.48012205001368e-003dB,1.79006204141452e+002°)
2.75422870333816e+001	(-1.54167318760428e-003dB,1.78983060465904e+002°)
2.81838293126445e+001	(-1.60612420597265e-003dB,1.78959378048368e+002°)
2.88403150312660e+001	(-1.67361168211570e-003dB,1.78935144364486e+002°)
2.95120922666638e+001	(-1.74427862101173e-003dB,1.78910346599924e+002°)
3.01995172040201e+001	(-1.81827475772143e-003dB,1.78884971643742e+002°)
3.09029543251359e+001	(-1.89575687364817e-003dB,1.78859006081623e+002°)
3.16227766016838e+001	(-1.97688912761700e-003dB,1.78832436188950e+002°)
3.23593656929628e+001	(-2.06184340245012e-003dB,1.78805247923729e+002°)
3.31131121482591e+001	(-2.15079966779315e-003dB,1.78777426919363e+002°)
3.38844156139202e+001	(-2.24394635988423e-003dB,1.78748958477269e+002°)
3.46736850452531e+001	(-2.34148077913494e-003dB,1.78719827559336e+002°)
