time	V(n002)
Step Information: Run=2  (Run: 1/99)
1.000000000000000e-002	-3.047470e-005
Step Information: Run=6  (Run: 5/99)
0.000000000000000e+000	0.000000e+000
5.731071999476257e-006	1.367400e-005
1.403107199947630e-005	2.358377e-005
2.923107199947618e-005	2.951666e-005
1.005310719994779e-004	3.113736e-005
2.029310719994804e-004	3.109428e-005
3.053310719994828e-004	3.101779e-005
4.077310719994853e-004	3.090921e-005
5.101310719994760e-004	3.076864e-005
6.125310719994230e-004	3.059622e-005
7.149310719993699e-004	3.039215e-005
8.173310719993169e-004	3.015663e-005
9.197310719992639e-004	2.988990e-005
1.022131071999260e-003	2.959224e-005
1.124531071999318e-003	2.926395e-005
1.226931071999376e-003	2.890539e-005
1.329331071999434e-003	2.851691e-005
1.431731071999492e-003	2.809893e-005
1.534131071999550e-003	2.765186e-005
1.636531071999608e-003	2.717618e-005
1.738931071999666e-003	2.667238e-005
1.841331071999724e-003	2.614098e-005
1.943731071999782e-003	2.558253e-005
2.046131071999639e-003	2.499760e-005
2.148531071999475e-003	2.438681e-005
2.250931071999310e-003	2.375078e-005
2.353331071999146e-003	2.309018e-005
2.455731071998982e-003	2.240567e-005
2.558131071998818e-003	2.169799e-005
2.660531071998654e-003	2.096785e-005
2.762931071998490e-003	2.021601e-005
2.865331071998326e-003	1.944325e-005
2.967731071998162e-003	1.865037e-005
3.070131071997998e-003	1.783820e-005
3.172531071997834e-003	1.700756e-005
3.274931071997670e-003	1.615932e-005
3.377331071997506e-003	1.529436e-005
3.479731071997342e-003	1.441358e-005
3.582131071997178e-003	1.351788e-005
3.684531071997014e-003	1.260819e-005
3.786931071996850e-003	1.168545e-005
3.889331071996686e-003	1.075063e-005
3.991731071996892e-003	9.804673e-006
4.094131071997172e-003	8.848573e-006
4.196531071997452e-003	7.883317e-006
4.298931071997732e-003	6.909904e-006
4.401331071998012e-003	5.929340e-006
4.503731071998292e-003	4.942640e-006
4.606131071998572e-003	3.950825e-006
4.708531071998852e-003	2.954923e-006
4.810931071999132e-003	1.955962e-006
4.913331071999413e-003	9.549771e-007
5.015731071999693e-003	-4.699595e-008
5.118131071999973e-003	-1.048920e-006
5.220531072000253e-003	-2.049759e-006
5.322931072000533e-003	-3.048477e-006
5.425331072000813e-003	-4.044040e-006
5.527731072001093e-003	-5.035419e-006
5.630131072001373e-003	-6.021586e-006
5.732531072001653e-003	-7.001523e-006
5.834931072001933e-003	-7.974214e-006
5.937331072002213e-003	-8.938653e-006
6.039731072002493e-003	-9.893843e-006
6.142131072002773e-003	-1.083879e-005
6.244531072003053e-003	-1.177253e-005
6.346931072003333e-003	-1.269408e-005
6.449331072003613e-003	-1.360250e-005
6.551731072003893e-003	-1.449684e-005
6.654131072004173e-003	-1.537618e-005
6.756531072004453e-003	-1.623961e-005
6.858931072004733e-003	-1.708623e-005
6.961331072005013e-003	-1.791517e-005
7.063731072005293e-003	-1.872557e-005
7.166131072005573e-003	-1.951660e-005
7.268531072005854e-003	-2.028743e-005
7.370931072006134e-003	-2.103726e-005
7.473331072006414e-003	-2.176533e-005
7.575731072006694e-003	-2.247087e-005
7.678131072006974e-003	-2.315316e-005
7.780531072007254e-003	-2.381149e-005
7.882931072006922e-003	-2.444518e-005
7.985331072006314e-003	-2.505357e-005
8.087731072005706e-003	-2.563604e-005
8.190131072005098e-003	-2.619198e-005
8.292531072004490e-003	-2.672082e-005
8.394931072003882e-003	-2.722200e-005
8.497331072003274e-003	-2.769502e-005
8.599731072002665e-003	-2.813937e-005
8.702131072002057e-003	-2.855461e-005
8.804531072001449e-003	-2.894030e-005
8.906931072000841e-003	-2.929604e-005
9.009331072000233e-003	-2.962146e-005
9.111731071999625e-003	-2.991623e-005
9.214131071999017e-003	-3.018005e-005
9.316531071998408e-003	-3.041263e-005
9.418931071997800e-003	-3.061374e-005
9.521331071997192e-003	-3.078317e-005
9.623731071996584e-003	-3.092075e-005
9.726131071995976e-003	-3.102633e-005
9.828531071995368e-003	-3.109980e-005
9.930931071994760e-003	-3.114109e-005
9.999931071994350e-003	-3.115075e-005
1.000000000000000e-002	-3.115075e-005
Step Information: Run=7  (Run: 6/99)
0.000000000000000e+000	0.000000e+000
5.731071999476257e-006	1.371133e-005
1.393107199947630e-005	2.364075e-005
2.873107199947618e-005	2.968901e-005
1.005310719994779e-004	3.146528e-005
2.029310719994804e-004	3.142191e-005
3.053310719994828e-004	3.134465e-005
4.077310719994853e-004	3.123495e-005
5.101310719994760e-004	3.109293e-005
6.125310719994230e-004	3.091874e-005
7.149310719993699e-004	3.071255e-005
8.173310719993169e-004	3.047458e-005
9.197310719992639e-004	3.020507e-005
1.022131071999260e-003	2.990431e-005
1.124531071999318e-003	2.957260e-005
1.226931071999376e-003	2.921028e-005
1.329331071999434e-003	2.881775e-005
1.431731071999492e-003	2.839539e-005
1.534131071999550e-003	2.794364e-005
1.636531071999608e-003	2.746298e-005
1.738931071999666e-003	2.695390e-005
1.841331071999724e-003	2.641693e-005
1.943731071999782e-003	2.585262e-005
2.046131071999639e-003	2.526156e-005
2.148531071999475e-003	2.464436e-005
2.250931071999310e-003	2.400166e-005
2.353331071999146e-003	2.333412e-005
2.455731071998982e-003	2.264243e-005
2.558131071998818e-003	2.192731e-005
2.660531071998654e-003	2.118950e-005
2.762931071998490e-003	2.042976e-005
2.865331071998326e-003	1.964889e-005
2.967731071998162e-003	1.884768e-005
3.070131071997998e-003	1.802696e-005
3.172531071997834e-003	1.718759e-005
3.274931071997670e-003	1.633044e-005
3.377331071997506e-003	1.545639e-005
3.479731071997342e-003	1.456634e-005
3.582131071997178e-003	1.366122e-005
3.684531071997014e-003	1.274196e-005
3.786931071996850e-003	1.180951e-005
3.889331071996686e-003	1.086485e-005
3.991731071996892e-003	9.908943e-006
4.094131071997172e-003	8.942781e-006
4.196531071997452e-003	7.967365e-006
4.298931071997732e-003	6.983705e-006
4.401331071998012e-003	5.992818e-006
4.503731071998292e-003	4.995729e-006
4.606131071998572e-003	3.993471e-006
4.708531071998852e-003	2.987080e-006
4.810931071999132e-003	1.977598e-006
4.913331071999413e-003	9.660700e-007
5.015731071999693e-003	-4.645800e-008
5.118131071999973e-003	-1.058938e-006
5.220531072000253e-003	-2.070322e-006
5.322931072000533e-003	-3.079564e-006
5.425331072000813e-003	-4.085619e-006
5.527731072001093e-003	-5.087446e-006
5.630131072001373e-003	-6.084008e-006
5.732531072001653e-003	-7.074275e-006
5.834931072001933e-003	-8.057222e-006
5.937331072002213e-003	-9.031830e-006
6.039731072002493e-003	-9.997092e-006
6.142131072002773e-003	-1.095201e-005
6.244531072003053e-003	-1.189559e-005
6.346931072003333e-003	-1.282687e-005
6.449331072003613e-003	-1.374487e-005
6.551731072003893e-003	-1.464864e-005
6.654131072004173e-003	-1.553726e-005
6.756531072004453e-003	-1.640980e-005
6.858931072004733e-003	-1.726536e-005
6.961331072005013e-003	-1.810306e-005
7.063731072005293e-003	-1.892202e-005
7.166131072005573e-003	-1.972139e-005
7.268531072005854e-003	-2.050037e-005
7.370931072006134e-003	-2.125812e-005
7.473331072006414e-003	-2.199388e-005
7.575731072006694e-003	-2.270688e-005
7.678131072006974e-003	-2.339638e-005
7.780531072007254e-003	-2.406167e-005
7.882931072006922e-003	-2.470206e-005
7.985331072006314e-003	-2.531689e-005
8.087731072005706e-003	-2.590553e-005
8.190131072005098e-003	-2.646735e-005
8.292531072004490e-003	-2.700178e-005
8.394931072003882e-003	-2.750828e-005
8.497331072003274e-003	-2.798630e-005
8.599731072002665e-003	-2.843537e-005
8.702131072002057e-003	-2.885501e-005
8.804531072001449e-003	-2.924479e-005
8.906931072000841e-003	-2.960431e-005
9.009331072000233e-003	-2.993320e-005
9.111731071999625e-003	-3.023110e-005
9.214131071999017e-003	-3.049773e-005
9.316531071998408e-003	-3.073279e-005
9.418931071997800e-003	-3.093606e-005
9.521331071997192e-003	-3.110731e-005
9.623731071996584e-003	-3.124637e-005
9.726131071995976e-003	-3.135309e-005
9.828531071995368e-003	-3.142737e-005
9.930931071994760e-003	-3.146913e-005
9.999931071994350e-003	-3.147891e-005
1.000000000000000e-002	-3.147891e-005
Step Information: Run=8  (Run: 7/99)
0.000000000000000e+000	0.000000e+000
5.731071999476257e-006	1.375752e-005
1.393107199947630e-005	2.380708e-005
2.843107199947618e-005	2.995438e-005
1.005310719994779e-004	3.187904e-005
2.029310719994804e-004	3.183534e-005
3.053310719994828e-004	3.175711e-005
4.077310719994853e-004	3.164601e-005
5.101310719994760e-004	3.150216e-005
6.125310719994230e-004	3.132572e-005
7.149310719993699e-004	3.111686e-005
8.173310719993169e-004	3.087580e-005
9.197310719992639e-004	3.060279e-005
1.022131071999260e-003	3.029811e-005
1.124531071999318e-003	2.996208e-005
1.226931071999376e-003	2.959504e-005
1.329331071999434e-003	2.919737e-005
1.431731071999492e-003	2.876950e-005
1.534131071999550e-003	2.831185e-005
1.636531071999608e-003	2.782490e-005
1.738931071999666e-003	2.730916e-005
1.841331071999724e-003	2.676516e-005
1.943731071999782e-003	2.619347e-005
2.046131071999639e-003	2.559467e-005
2.148531071999475e-003	2.496938e-005
2.250931071999310e-003	2.431825e-005
2.353331071999146e-003	2.364196e-005
2.455731071998982e-003	2.294121e-005
2.558131071998818e-003	2.221671e-005
2.660531071998654e-003	2.146922e-005
2.762931071998490e-003	2.069952e-005
2.865331071998326e-003	1.990840e-005
2.967731071998162e-003	1.909667e-005
3.070131071997998e-003	1.826519e-005
3.172531071997834e-003	1.741480e-005
3.274931071997670e-003	1.654640e-005
3.377331071997506e-003	1.566087e-005
3.479731071997342e-003	1.475913e-005
3.582131071997178e-003	1.384212e-005
3.684531071997014e-003	1.291079e-005
3.786931071996850e-003	1.196609e-005
3.889331071996686e-003	1.100902e-005
3.991731071996892e-003	1.004055e-005
4.094131071997172e-003	9.061690e-006
4.196531071997452e-003	8.073454e-006
4.298931071997732e-003	7.076863e-006
4.401331071998012e-003	6.072950e-006
4.503731071998292e-003	5.062752e-006
4.606131071998572e-003	4.047315e-006
4.708531071998852e-003	3.027690e-006
4.810931071999132e-003	2.004932e-006
4.913331071999413e-003	9.800988e-007
5.015731071999693e-003	-4.574843e-008
5.118131071999973e-003	-1.071548e-006
5.220531072000253e-003	-2.096239e-006
5.322931072000533e-003	-3.118761e-006
5.425331072000813e-003	-4.138055e-006
5.527731072001093e-003	-5.153068e-006
5.630131072001373e-003	-6.162747e-006
5.732531072001653e-003	-7.166050e-006
5.834931072001933e-003	-8.161937e-006
5.937331072002213e-003	-9.149378e-006
6.039731072002493e-003	-1.012735e-005
6.142131072002773e-003	-1.109484e-005
6.244531072003053e-003	-1.205086e-005
6.346931072003333e-003	-1.299440e-005
6.449331072003613e-003	-1.392449e-005
6.551731072003893e-003	-1.484018e-005
6.654131072004173e-003	-1.574051e-005
6.756531072004453e-003	-1.662455e-005
6.858931072004733e-003	-1.749138e-005
6.961331072005013e-003	-1.834012e-005
7.063731072005293e-003	-1.916988e-005
7.166131072005573e-003	-1.997980e-005
7.268531072005854e-003	-2.076904e-005
7.370931072006134e-003	-2.153680e-005
7.473331072006414e-003	-2.228227e-005
7.575731072006694e-003	-2.300467e-005
7.678131072006974e-003	-2.370328e-005
7.780531072007254e-003	-2.437735e-005
7.882931072006922e-003	-2.502620e-005
7.985331072006314e-003	-2.564915e-005
8.087731072005706e-003	-2.624556e-005
8.190131072005098e-003	-2.681481e-005
8.292531072004490e-003	-2.735631e-005
8.394931072003882e-003	-2.786950e-005
8.497331072003274e-003	-2.835386e-005
8.599731072002665e-003	-2.880887e-005
8.702131072002057e-003	-2.923407e-005
