Time (s),Output (V)
9.086468001954079e-05,0.98046875
9.110893991206644e-05,0.982421875
9.135319980459209e-05,0.984375
9.159745969711773e-05,0.98828125
9.184171958964338e-05,0.990234375
9.208597948216903e-05,0.9921875
9.233023937469467e-05,0.99609375
9.257449926722032e-05,0.998046875
9.281875915974598e-05,0.998046875
9.306301905227161e-05,0.99609375
9.330727894479727e-05,0.994140625
9.355153883732292e-05,0.990234375
9.379579872984856e-05,0.98828125
9.404005862237421e-05,0.986328125
9.428431851489986e-05,0.982421875
9.45285784074255e-05,0.98046875
9.477283829995115e-05,0.978515625
9.50170981924768e-05,0.974609375
9.526135808500244e-05,0.97265625
9.550561797752809e-05,0.970703125
9.574987787005374e-05,0.966796875
9.599413776257938e-05,0.96484375
9.623839765510503e-05,0.962890625
9.648265754763069e-05,0.958984375
9.672691744015632e-05,0.95703125
9.697117733268198e-05,0.955078125
9.721543722520763e-05,0.951171875
9.745969711773328e-05,0.94921875
9.770395701025892e-05,0.9453125
9.794821690278457e-05,0.943359375
9.819247679531022e-05,0.94140625
9.843673668783586e-05,0.9375
9.868099658036151e-05,0.935546875
9.892525647288716e-05,0.93359375
9.91695163654128e-05,0.9296875
9.941377625793845e-05,0.927734375
9.965803615046411e-05,0.92578125
9.990229604298974e-05,0.921875
0.0001001465559355154,0.919921875
0.000100390815828041,0.91796875
0.0001006350757205667,0.9140625
0.0001008793356130923,0.912109375
0.000101123595505618,0.91015625
0.0001013678553981436,0.90625
0.0001016121152906693,0.904296875
0.0001018563751831949,0.90234375
0.0001021006350757206,0.8984375
0.0001023448949682462,0.896484375
0.0001025891548607719,0.892578125
0.0001028334147532975,0.890625
0.0001030776746458232,0.888671875
0.0001033219345383488,0.884765625
0.0001035661944308745,0.8828125
0.0001038104543234001,0.880859375
0.0001040547142159257,0.876953125
0.0001042989741084514,0.875
0.000104543234000977,0.873046875
0.0001047874938935027,0.869140625
0.0001050317537860283,0.8671875
0.000105276013678554,0.865234375
0.0001055202735710796,0.861328125
0.0001057645334636053,0.859375
0.0001060087933561309,0.857421875
0.0001062530532486566,0.853515625
0.0001064973131411822,0.8515625
0.0001067415730337079,0.849609375
0.0001069858329262335,0.845703125
0.0001072300928187592,0.84375
0.0001074743527112848,0.83984375
0.0001077186126038105,0.837890625
0.0001079628724963361,0.8359375
0.0001082071323888617,0.83203125
0.0001084513922813874,0.830078125
0.000108695652173913,0.828125
0.0001089399120664387,0.82421875
0.0001091841719589643,0.822265625
0.00010942843185149,0.8203125
0.0001096726917440156,0.81640625
0.0001099169516365413,0.814453125
0.0001101612115290669,0.8125
0.0001104054714215926,0.80859375
0.0001106497313141182,0.806640625
0.0001108939912066439,0.8046875
0.0001111382510991695,0.80078125
0.0001113825109916952,0.798828125
0.0001116267708842208,0.796875
0.0001118710307767465,0.79296875
0.0001121152906692721,0.791015625
0.0001123595505617978,0.787109375
0.0001126038104543234,0.78515625
0.000112848070346849,0.783203125
0.0001130923302393747,0.779296875
0.0001133365901319004,0.77734375
0.000113580850024426,0.775390625
0.0001138251099169516,0.771484375
0.0001140693698094773,0.76953125
0.0001143136297020029,0.767578125
0.0001145578895945286,0.763671875
0.0001148021494870542,0.76171875
0.0001150464093795799,0.759765625
0.0001152906692721055,0.755859375
0.0001155349291646312,0.75390625
0.0001157791890571568,0.751953125
0.0001160234489496825,0.748046875
0.0001162677088422081,0.74609375
0.0001165119687347338,0.744140625
0.0001167562286272594,0.740234375
0.0001170004885197851,0.73828125
0.0001172447484123107,0.734375
0.0001174890083048363,0.732421875
0.000117733268197362,0.73046875
0.0001179775280898876,0.7265625
0.0001182217879824133,0.724609375
0.0001184660478749389,0.72265625
0.0001187103077674646,0.71875
0.0001189545676599902,0.716796875
0.0001191988275525159,0.71484375
0.0001194430874450415,0.7109375
0.0001196873473375672,0.708984375
0.0001199316072300928,0.70703125
0.0001201758671226185,0.703125
0.0001204201270151441,0.701171875
0.0001206643869076698,0.69921875
0.0001209086468001954,0.6953125
0.0001211529066927211,0.693359375
0.0001213971665852467,0.69140625
0.0001216414264777724,0.6875
0.000121885686370298,0.685546875
0.0001221299462628236,0.681640625
0.0001223742061553493,0.6796875
0.0001226184660478749,0.677734375
0.0001228627259404006,0.673828125
0.0001231069858329262,0.671875
0.0001233512457254519,0.669921875
0.0001235955056179775,0.666015625
0.0001238397655105032,0.6640625
0.0001240840254030288,0.662109375
0.0001243282852955545,0.658203125
0.0001245725451880801,0.65625
0.0001248168050806058,0.654296875
0.0001250610649731314,0.650390625
0.0001253053248656571,0.6484375
0.0001255495847581827,0.646484375
0.0001257938446507084,0.642578125
0.000126038104543234,0.640625
0.0001262823644357596,0.638671875
0.0001265266243282853,0.634765625
0.0001267708842208109,0.6328125
0.0001270151441133366,0.62890625
0.0001272594040058622,0.626953125
0.0001275036638983879,0.625
0.0001277479237909135,0.62109375
0.0001279921836834392,0.619140625
0.0001282364435759648,0.6171875
0.0001284807034684905,0.61328125
0.0001287249633610161,0.611328125
0.0001289692232535418,0.609375
0.0001292134831460674,0.60546875
0.0001294577430385931,0.603515625
0.0001297020029311187,0.6015625
0.0001299462628236444,0.59765625
0.00013019052271617,0.595703125
0.0001304347826086957,0.59375
0.0001306790425012213,0.58984375
0.0001309233023937469,0.587890625
0.0001311675622862726,0.5859375
0.0001314118221787982,0.58203125
0.0001316560820713239,0.580078125
0.0001319003419638496,0.576171875
0.0001321446018563752,0.57421875
0.0001323888617489008,0.572265625
0.0001326331216414265,0.568359375
0.0001328773815339521,0.56640625
0.0001331216414264778,0.564453125
0.0001333659013190034,0.560546875
0.0001336101612115291,0.55859375
0.0001338544211040547,0.556640625
0.0001340986809965804,0.552734375
0.000134342940889106,0.55078125
0.0001345872007816317,0.548828125
0.0001348314606741573,0.544921875
0.000135075720566683,0.54296875
0.0001353199804592086,0.541015625
0.0001355642403517342,0.537109375
0.0001358085002442599,0.53515625
0.0001360527601367856,0.533203125
0.0001362970200293112,0.529296875
0.0001365412799218369,0.52734375
0.0001367855398143625,0.5234375
0.0001370297997068881,0.521484375
0.0001372740595994138,0.51953125
0.0001375183194919394,0.515625
0.0001377625793844651,0.513671875
0.0001380068392769907,0.51171875
0.0001382510991695164,0.5078125
0.000138495359062042,0.505859375
0.0001387396189545677,0.50390625
0.0001389838788470933,0.5
0.000139228138739619,0.498046875
0.0001394723986321446,0.49609375
0.0001397166585246703,0.4921875
0.0001399609184171959,0.490234375
0.0001402051783097216,0.48828125
0.0001404494382022472,0.484375
0.0001406936980947729,0.482421875
0.0001409379579872985,0.48046875
0.0001411822178798241,0.4765625
0.0001414264777723498,0.474609375
0.0001416707376648754,0.470703125
0.0001419149975574011,0.46875
0.0001421592574499267,0.466796875
0.0001424035173424524,0.462890625
0.000142647777234978,0.4609375
0.0001428920371275037,0.458984375
0.0001431362970200293,0.455078125
0.0001433805569125549,0.453125
0.0001436248168050806,0.451171875
0.0001438690766976062,0.447265625
0.0001441133365901319,0.4453125
0.0001443575964826576,0.443359375
0.0001446018563751832,0.439453125
0.0001448461162677088,0.4375
0.0001450903761602345,0.435546875
0.0001453346360527601,0.431640625
0.0001455788959452858,0.4296875
0.0001458231558378114,0.427734375
